Shrt_Desc	Calories
"BUTTER,WITH SALT"	1628
"BUTTER,WHIPPED,WITH SALT"	1083
"BUTTER OIL,ANHYDROUS"	1796
"CHEESE,BLUE"	100
"CHEESE,BRICK"	490
"CHEESE,BRIE"	802
"CHEESE,CAMEMBERT"	738
"CHEESE,CARAWAY"	107
"CHEESE,CHEDDAR"	532
"CHEESE,CHESHIRE"	110
"CHEESE,COLBY"	520
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD"	111
"CHEESE,COTTAGE,CRMD,W/FRUIT"	219
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD"	104
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT"	194
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT"	163
"CHEESE,CREAM"	793
"CHEESE,EDAM"	101
"CHEESE,FETA"	396
"CHEESE,FONTINA"	513
"CHEESE,GJETOST"	132
"CHEESE,GOUDA"	101
"CHEESE,GRUYERE"	545
"CHEESE,LIMBURGER"	438
"CHEESE,MONTEREY"	492
"CHEESE,MOZZARELLA,WHL MILK"	336
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST"	90
"CHEESE,MOZZARELLA,PART SKIM MILK"	72
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST"	399
"CHEESE,MUENSTER"	486
"CHEESE,NEUFCHATEL"	72
"CHEESE,PARMESAN,GRATED"	431
"CHEESE,PARMESAN,HARD"	111
"CHEESE,PORT DE SALUT"	465
"CHEESE,PROVOLONE"	463
"CHEESE,RICOTTA,WHOLE MILK"	428
"CHEESE,RICOTTA,PART SKIM MILK"	339
"CHEESE,ROMANO"	110
"CHEESE,ROQUEFORT"	105
"CHEESE,SWISS"	502
"CHEESE,TILSIT"	96
"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D"	512
"CHEESE,PAST PROCESS,PIMENTO"	525
"CHEESE,PAST PROCESS,SWISS"	468
"CHEESE FD,COLD PK,AMERICAN"	94
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT"	373
"CHEESE FD,PAST PROCESS,SWISS"	92
"CHEESE SPRD,PAST PROCESS,AMERICAN"	93
"CREAM,FLUID,HALF AND HALF"	315
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)"	468
"CREAM,FLUID,LT WHIPPING"	350
"CREAM,FLUID,HVY WHIPPING"	414
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED"	154
"CREAM,SOUR,RED FAT,CULTURED"	327
"CREAM,SOUR,CULTURED"	444
EGGNOG	224
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE"	418
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS"	154
"MILK,FILLED,FLUID,W/LAURIC ACID OIL"	154
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT"	326
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE"	20
"CREAM SUBSTITUTE,POWDERED"	512
"DESSERT TOPPING,POWDERED"	248
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK"	155
"DESSERT TOPPING,PRESSURIZED"	185
"DESSERT TOPPING,SEMI SOLID,FRZ"	239
"SOUR CRM,IMITN,CULTURED"	478
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL"	149
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D"	149
"MILK,PRODUCER,FLUID,3.7% MILKFAT"	156
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D"	122
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D"	125
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D"	138
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D"	102
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D"	105
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D"	118
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)"	83
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D"	91
"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)"	101
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT"	98
"MILK,LO NA,FLUID"	149
"MILK,DRY,WHL,W/ ADDED VITAMIN D"	635
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D"	434
